,Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
Destination Port,1.0,0.17387808657549386,0.0046954144032112875,0.0043943726799367195,0.009466488791786274,0.0034192728010081965,0.09038462947060977,0.04610976687433161,0.1368550329413118,0.12248848572323189,0.21473193923773323,0.2619049752593481,0.24082529078931283,0.1924454247962338,0.07028506265470207,0.35953083775174993,0.1149063276317126,0.13354363573676942,0.13252723854273693,0.023601793188886843,0.17301709360721207,0.10823027607277858,0.11250567133261527,0.13122523500493727,0.05603925992406708,0.1213627443719391,0.07673738630374162,0.04258012136209034,0.06275812630896621,0.05562585070454174,0.23450339695778671,,0.004435092173706243,,0.0008063328384781615,0.0007683628351226185,0.3486280459833915,0.14469341440969233,0.2536969856681044,0.14542505475373085,0.17327658282806138,0.14143668021752046,0.07874155398100989,0.03828894374219819,0.23450339695778671,0.00720128842477181,0.22091007797937454,0.5865774858321618,0.5249248808112807,0.004435092173706243,0.007111808384459533,0.02904049257866761,0.17462300224276125,0.1368550329413118,0.24082529078931283,0.0008063328384781615,,,,,,,0.0046954144032112875,0.009479804543179282,0.0043943726799367195,0.00341924682018296,0.1350560371288382,0.2053778928649749,0.0035740604054457187,0.0010135282768301212,0.041193882955110145,0.04868448817384772,0.058776779768449,0.02759469405013423,0.12954711777709818,0.006369948447210603,0.12524364534248894,0.13104962518695212
Flow Duration,0.17387808657549386,1.0,0.020544392928776512,0.019366837110705686,0.06334138281219154,0.015981105338100432,0.26257931977734605,0.11504800523196704,0.13349101140140696,0.22409266818174492,0.4848172116773934,0.2384440364753356,0.44743868437459855,0.4325715059988545,0.0250459513447996,0.1105086828337662,0.5342496876964845,0.734439872285126,0.7795959213123165,0.060384236049457626,0.9985267446650781,0.5425972964847906,0.7206442239350602,0.7793435274729378,0.20952088736243568,0.819627386552049,0.4081965568659686,0.5172889651790712,0.5798713670957322,0.2124761743920654,0.017621784888210305,,0.0026796105778293627,,0.0005829239773347625,0.001042208520859036,0.10023054822535965,0.08029463888419398,0.24611126507411335,0.5004502398552759,0.4160678680437259,0.44401522592198683,0.2709536213374461,0.21793225897076854,0.017621784888210305,0.008008296376763336,0.17748134297076423,0.03270402884043472,0.11835147615332241,0.0026796105778293627,0.007956641403254774,0.16538590631279904,0.39362433835085797,0.13349101140140696,0.44743868437459855,0.0005829239773347625,,,,,,,0.020544392928776512,0.06342407525914251,0.019366837110705686,0.015980667544277922,0.0926810632533835,0.03536840947907706,0.01570907881546561,0.001224876646633111,0.1845916177300406,0.23826227660277063,0.28955721590963657,0.1169029523076927,0.763753077160589,0.24011384921746906,0.7753848641239778,0.7337263854513068
Total Fwd Packets,0.0046954144032112875,0.020544392928776512,1.0,0.9990702098257314,0.3655100120621662,0.9969935062541508,0.009047438367883747,0.003238626008476289,0.000278330562025002,0.0010837240452757043,0.022527806553913392,0.00605944477641137,0.021099094201727897,0.006006782736215667,0.0003895488015193781,0.0023535924105328463,0.0013977652029565377,0.0009949098999214362,0.001822614161440399,0.000594335739410771,0.020212965365304193,0.0013912578512263241,0.00037080875081378477,0.0013787025040417514,0.0013032800542747314,0.023771935667786258,0.0009055454745069527,0.0004496970646892173,0.0030666648923703458,0.001157133027115653,0.0018746055407937697,,5.988987397475902e-05,,0.0043925325808740374,0.013750504990870938,0.0021469650807001,0.0016513930462896136,0.006762981097194232,0.021710113400653396,0.024218525379319296,0.011618331061047635,0.005111102790954477,0.0013515253121803954,0.0018746055407937697,0.00033684987013108433,0.007011269088871095,0.0013681450996539143,0.0038176855128942283,5.988987397475902e-05,0.00033529806656366977,0.0009071324688564805,0.02184208049568812,0.000278330562025002,0.021099094201727897,0.0043925325808740374,,,,,,,1.0,0.36599209134845195,0.9990702098257314,0.9969873628559397,0.0036993950514406706,0.0006798716477522427,0.8873857929361042,0.00018106497832830683,0.03981173895318416,0.008195764218031676,0.030305201860739872,0.04117693876628204,0.001363992830408182,0.000664119981085481,0.001444424077456209,0.001229633272729313
Total Backward Packets,0.0043943726799367195,0.019366837110705686,0.9990702098257314,1.0,0.3594569967026173,0.9944296696744144,0.008742509076835513,0.0028197569890611777,0.0006317634721582734,0.0007191918298983031,0.022322079456549494,0.005337707881724594,0.021224000640612774,0.005687254015849334,0.00033385873261903177,0.0023931843910387487,0.0017400035379705593,0.0014623978246687593,0.0013702742911982572,0.000619766112619879,0.019016657075317196,0.0015683977374592796,0.0008943218980686804,0.0009118980971235115,0.0011717208525094482,0.02320020368203001,0.0010591971598440766,0.0002493444765001665,0.0031514472417679155,0.0011111317590927056,0.0016679896386480675,,6.11682586046716e-05,,0.004638933408358881,0.013766293031077244,0.002243888174239181,0.001366863897864616,0.006129563738229382,0.02144824169977786,0.02463857248622423,0.01147711030035567,0.00508435944833626,0.0011958815868046892,0.0016679896386480675,0.00021221577488984812,0.006445593195494993,0.001197944866557481,0.003173384834534881,6.11682586046716e-05,0.00021116326071902295,0.003302402825077424,0.022271784931052217,0.0006317634721582734,0.021224000640612774,0.004638933408358881,,,,,,,0.9990702098257314,0.3599390297514522,1.0,0.9944244918146811,0.003140696517854913,0.0006798663428934885,0.8825656722694825,2.1413005045984338e-05,0.03884374414851962,0.006308222134046746,0.028454203943840347,0.04117749369703982,0.0009860680391906105,0.00035284323304601595,0.0010108388829336086,0.0009056422548206869
Total Length of Fwd Packets,0.009466488791786274,0.06334138281219154,0.3655100120621662,0.3594569967026173,1.0,0.35378250417828044,0.19617768823396745,0.001661385300992007,0.18503380796534374,0.1587998735155323,0.020568480501991636,0.02778943597787801,0.016280631809127883,0.007498116278553985,0.002261324027743283,0.011920994821605913,0.0025949376375025645,0.012508740763489255,0.024700348464703394,0.003069492280611512,0.06252467788846103,0.00414958924041595,0.021070389780538528,0.024779269718396325,0.006194645215343941,0.07593510010028053,0.006394501600827679,0.03493062165210229,0.040256079443799504,0.00518456506628219,0.008641316088732807,,0.00032822977041884003,,0.00015697882270097652,0.005022902949396201,0.01067500610851713,0.009371479315521009,0.028357906726906378,0.07464163691923277,0.08121869528953594,0.05719249881786867,0.033708736699436054,0.005915497213258521,0.008641316088732807,0.004455010110747402,0.044398014187194135,0.003635622773545404,0.005221564560315705,0.00032822977041884003,0.004444132224894487,0.011741946659918982,0.07587686909269273,0.18503380796534374,0.016280631809127883,0.00015697882270097652,,,,,,,0.3655100120621662,0.999999358151046,0.3594569967026174,0.35378911515968825,0.03053031309097053,0.009924781701761068,0.4074729563039794,0.0011916090065493166,0.1003587559883107,0.10271288285399172,0.1256932723977158,0.06770021670462838,0.02045631731942164,0.026349977575324954,0.023876006674309485,0.016474522730021212
Total Length of Bwd Packets,0.0034192728010081965,0.015981105338100432,0.9969935062541508,0.9944296696744144,0.35378250417828044,1.0,0.006392563161429892,0.002343857624733079,0.0016726607674291446,0.0007036883623461453,0.021817910319233903,0.004257230914649077,0.020533189013310197,0.005745358451522909,0.0005284745443867394,0.001681065530491925,0.001658753810518599,0.0015112467583289395,0.0008060089729846567,0.0004312544504695783,0.015665144256137832,0.0015431786622599184,0.0010477960939318447,0.000354318798342067,0.0009477629832891141,0.018944949011860023,0.0013201769460450647,0.0006733545339756163,0.0017123635110529044,0.0009324546322164245,0.0016365919077972132,,4.3003383816518906e-05,,0.004621330828944125,0.013691430874775876,0.0015666782622538534,0.0010095424023627037,0.0048830413190543,0.020698013021381106,0.023292920900629142,0.011007150548506282,0.005715694300566878,0.0008321078020405811,0.0016365919077972132,0.0001186807195672569,0.003758480987480542,0.002336633869950234,0.0025572917206727473,4.3003383816518906e-05,0.00011787365080896687,0.002964232838425786,0.021142162108218166,0.0016726607674291446,0.020533189013310197,0.004621330828944125,,,,,,,0.9969935062541508,0.3542619121108584,0.9944296696744146,0.9999998601334651,0.0012147277434760863,0.0007748747993010986,0.8839663559108433,2.0414596393863902e-05,0.03587431136320366,0.003396126517194202,0.024732599027714578,0.03899982195462472,0.00047964969278081006,1.3665913621573442e-06,0.00046349105794294126,0.00047167045994831407
Fwd Packet Length Max,0.09038462947060977,0.26257931977734605,0.009047438367883747,0.008742509076835513,0.19617768823396745,0.006392563161429892,1.0,0.0039600164641698,0.8889407708388861,0.9685167892827442,0.08362723293852047,0.14189843482735473,0.06335881381287556,0.06501347045813712,0.03616106185283419,0.055842564979063036,0.06340809815539519,0.14651888461605508,0.19117935124329524,0.015747562092306308,0.25879016854526427,0.07805141435266408,0.21548805217444583,0.19527561872125535,0.029973885284143603,0.2906734701668473,0.06120615603320227,0.2644752391564516,0.25209877621929644,0.028599485867421906,0.005366907655929874,,0.001736012940219846,,0.0005749346561425889,0.0006036612169413523,0.048951557355760074,0.04931190964125301,0.14542944722676743,0.37912868551713874,0.33018852098273604,0.3419981154790407,0.25256820226967436,0.003211741736530998,0.005366907655929874,0.01771629996340442,0.22436223436823519,0.02735318152166081,0.02122655757509017,0.001736012940219846,0.017697661320060214,0.0509658401310045,0.32157118931304507,0.8889407708388861,0.06335881381287556,0.0005749346561425889,,,,,,,0.009047438367883747,0.19644174266131262,0.008742509076835513,0.006392766171497083,0.15646033706353588,0.015837229523088702,0.007324999879609802,0.0006076175997965463,0.12030483487350666,0.0878585641435583,0.13844672257577867,0.10265302545731506,0.17096424709425806,0.17524220552188013,0.1895039472973757,0.14685153438253262
Fwd Packet Length Min,0.04610976687433161,0.11504800523196704,0.003238626008476289,0.0028197569890611777,0.001661385300992007,0.002343857624733079,0.0039600164641698,1.0,0.24412333543573164,0.07803917540086763,0.13266927765809935,0.2949332458441775,0.11362156523815437,0.13327061672330845,0.0020784778397819046,0.05038485125385686,0.021393030542395115,0.057441085003455704,0.08271429746466148,0.002021327532008619,0.1188651349574573,0.013184489311700982,0.10584882742729085,0.08943464632817778,0.04190297900689283,0.08045146763427226,0.015034375142070797,0.05346882174907366,0.03502222950996569,0.03928316389231154,0.09626581015503814,,0.0017692947896637116,,0.001318324471347982,0.0006792776482552782,0.04789764930889671,0.02551773467430298,0.442694709422108,0.11515424704309647,0.05630852545255403,0.1023938122664936,0.08851098479321182,0.051614007689343266,0.09626581015503814,0.005181672323038944,0.20244868528008494,0.10611376311240284,0.016147492755011105,0.0017692947896637116,0.0046680910591639455,0.2935530887547661,0.039178534951589995,0.24412333543573164,0.11362156523815437,0.001318324471347982,,,,,,,0.0032386260084762888,0.0016632871618015696,0.0028197569890611777,0.0023438399151120776,0.14651670034138503,0.06992224170956013,0.002291268874876014,0.0012256044399818421,0.03603756955499639,0.03307094908070689,0.045370507001819396,0.027933111954257194,0.07790747508968526,0.03224617069506325,0.08020379731058132,0.0736734646710651
Fwd Packet Length Mean,0.1368550329413118,0.13349101140140696,0.000278330562025002,0.0006317634721582734,0.18503380796534374,0.0016726607674291446,0.8889407708388861,0.24412333543573164,1.0,0.8977110175888656,0.0032508528948199116,0.03941876405018379,0.014035455800225373,0.006217826857095872,0.0864587878182693,0.042326242561099285,0.04600572971018952,0.1112691691211179,0.14129217599637317,0.012137863579136597,0.1300516759279799,0.06382352441485489,0.1630351041560195,0.14478474068235095,0.011616044265656593,0.16871126038208303,0.059599630917293145,0.2326671842319589,0.2229749918511475,0.009477771220556135,0.062316599876446846,,0.0018374485040952328,,3.9833150003017226e-05,0.0002162698453319373,0.03546101770058512,0.04586158412496508,0.00694165541132133,0.28706935007404116,0.29702237017932476,0.2790283824439373,0.21137149855600085,0.015086411482632116,0.062316599876446846,0.012867265445124685,0.09059923564617234,0.006089545840963736,0.05023096049276172,0.0018374485040952328,0.012978754101172538,0.0312836466622215,0.2990586575152526,1.0,0.014035455800225373,3.9833150003017226e-05,,,,,,,0.00027833056202500214,0.1852771627517845,0.0006317634721582733,0.0016726352672650805,0.0463566567117113,0.01512269826994722,0.00011580875481865613,0.00012146483455826729,0.09035555847546538,0.05395670972676157,0.09033179590593741,0.07887600532359304,0.11945298145409915,0.17684033820097259,0.14012805391972907,0.09557877367019119
Fwd Packet Length Std,0.12248848572323189,0.22409266818174492,0.0010837240452757043,0.0007191918298983031,0.1587998735155323,0.0007036883623461453,0.9685167892827442,0.07803917540086763,0.8977110175888656,1.0,0.07528646760319689,0.15266307402783028,0.05578907661743354,0.06709891068947342,0.07637069373326251,0.03651892105561724,0.06674231755707223,0.1543263600160247,0.19600082114847817,0.014718991399696539,0.22105300892137755,0.0832687795647026,0.22955262012756983,0.20138365993027926,0.02919636542033725,0.24207367803036864,0.059261368318145054,0.2685925228122227,0.2505640314951474,0.028035105963682548,0.015874005281574163,,0.0014809422197028998,,0.0005984893833799006,0.0004999554341372537,0.02976972106012603,0.04375718833974885,0.16732093058510694,0.3733250371947212,0.3256249865259301,0.35234628535189,0.27769245426641465,0.009745342345610074,0.015874005281574163,0.014562190337665403,0.19743356946125537,0.0058312761592300595,0.03608553963815818,0.0014809422197028998,0.014511535647079453,0.0651510865303623,0.32135733976105324,0.8977110175888655,0.05578907661743354,0.0005984893833799006,,,,,,,0.0010837240452757043,0.15901413831172068,0.0007191918298983032,0.0007036773649561382,0.13089678917030148,0.014231190521851067,0.0007920659702422593,0.0006587524551452474,0.10290415618873025,0.06514536016636384,0.1112483290097155,0.09131533933682158,0.17387992546058453,0.18862992073205928,0.19417870652926,0.14843669959098568
