Feature 1,Feature 2,Absolute Pearson Correlation
Fwd URG Flags,CWE Flag Count,1.0
Fwd Header Length,Fwd Header Length.1,1.0
Bwd Packet Length Mean,Avg Bwd Segment Size,1.0
Fwd Packet Length Mean,Avg Fwd Segment Size,1.0
Total Backward Packets,Subflow Bwd Packets,1.0
Total Fwd Packets,Subflow Fwd Packets,1.0
Fwd PSH Flags,SYN Flag Count,1.0
Total Length of Bwd Packets,Subflow Bwd Bytes,0.9999998601334651
Total Length of Fwd Packets,Subflow Fwd Bytes,0.999999358151046
Total Fwd Packets,Subflow Bwd Packets,0.9990702098257314
Subflow Fwd Packets,Subflow Bwd Packets,0.9990702098257314
Total Backward Packets,Subflow Fwd Packets,0.9990702098257314
Total Fwd Packets,Total Backward Packets,0.9990702098257314
Flow Duration,Fwd IAT Total,0.9985267446650781
Flow IAT Max,Fwd IAT Max,0.9980501577986898
Packet Length Mean,Average Packet Size,0.9978220426502725
RST Flag Count,ECE Flag Count,0.9978199575067787
Total Length of Bwd Packets,Subflow Fwd Packets,0.9969935062541508
Total Fwd Packets,Total Length of Bwd Packets,0.9969935062541508
Subflow Fwd Packets,Subflow Bwd Bytes,0.9969873628559397
Total Fwd Packets,Subflow Bwd Bytes,0.9969873628559397
Total Length of Bwd Packets,Subflow Bwd Packets,0.9944296696744146
Total Backward Packets,Total Length of Bwd Packets,0.9944296696744144
Subflow Bwd Packets,Subflow Bwd Bytes,0.9944244918146811
Total Backward Packets,Subflow Bwd Bytes,0.9944244918146811
Idle Mean,Idle Max,0.9902242712942885
Idle Mean,Idle Min,0.990067972424725
Flow IAT Max,Idle Max,0.9894704555058879
Fwd IAT Max,Idle Max,0.9886172453169307
Max Packet Length,Packet Length Std,0.9840065995871545
Bwd Packet Length Max,Bwd Packet Length Std,0.9824889838760804
Flow Packets/s,Fwd Packets/s,0.980492576047129
Flow IAT Max,Idle Mean,0.979825652981891
Fwd IAT Max,Idle Mean,0.9781959680845662
Fwd Packet Length Max,Fwd Packet Length Std,0.9685167892827442
Idle Max,Idle Min,0.9612043542592176
Bwd Packet Length Max,Bwd Packet Length Mean,0.9581225284860538
Bwd Packet Length Max,Avg Bwd Segment Size,0.9581225284860538
Flow IAT Max,Idle Min,0.951169988355022
Fwd IAT Max,Idle Min,0.9487440525727486
Bwd Packet Length Max,Max Packet Length,0.9471210572710588
Packet Length Std,Average Packet Size,0.9430665347957611
Packet Length Mean,Packet Length Std,0.9426137733745139
Bwd Packet Length Std,Packet Length Std,0.9414235534987382
Bwd Packet Length Mean,Bwd Packet Length Std,0.9406744176184053
Bwd Packet Length Std,Avg Bwd Segment Size,0.9406744176184051
Bwd Packet Length Max,Packet Length Std,0.9386123378609225
Flow IAT Std,Flow IAT Max,0.937529364477109
Flow IAT Std,Fwd IAT Max,0.935547995809774
Flow IAT Std,Idle Max,0.9348002683015149
Bwd IAT Mean,Bwd IAT Min,0.9330715951997391
Bwd Packet Length Std,Max Packet Length,0.9313478960122822
Flow IAT Std,Idle Mean,0.9305163969033126
Packet Length Std,Packet Length Variance,0.9249376534501326
Packet Length Mean,Avg Bwd Segment Size,0.9207715339558611
Bwd Packet Length Mean,Packet Length Mean,0.9207715339558611
Bwd Packet Length Mean,Packet Length Std,0.9180915464771472
