True Label,0,1,2,3,4,5,6,7,8,9
BENIGN,10545,50,2197,4879,28,301,6582,1,320,19
Bot,0,0,0,17,0,0,14,0,0,0
DDoS,1,0,0,348,0,0,566,0,0,591
DoS GoldenEye,0,0,1,60,24,4,15,0,0,13
DoS Hulk,76,553,0,153,0,2,101,0,0,1174
DoS Slowhttptest,4,14,29,3,0,0,10,0,0,0
DoS slowloris,0,3,29,22,0,17,5,0,0,0
FTP-Patator,0,0,0,40,0,0,23,0,0,0
Infiltration,0,0,0,0,0,0,1,0,0,0
PortScan,0,0,0,1097,0,2,12,0,0,0
SSH-Patator,0,0,0,32,0,0,2,0,0,0
Web Attack � Brute Force,0,0,2,11,0,0,0,0,0,0
Web Attack � Sql Injection,0,0,0,0,0,0,1,0,0,0
Web Attack � XSS,0,0,0,6,0,0,0,0,0,0
