True Label,0,1,2,3,Initial_True_Label_Count,Cluster_Assigned_Total
BENIGN,2370,22217,334,1,24922,24922
Bot,0,31,0,0,31,31
DDoS,683,823,0,0,1506,1506
DoS GoldenEye,36,57,24,0,117,117
DoS Hulk,1750,307,2,0,2059,2059
DoS Slowhttptest,43,17,0,0,60,60
DoS slowloris,32,27,17,0,76,76
FTP-Patator,0,63,0,0,63,63
Infiltration,0,1,0,0,1,1
PortScan,1,1108,2,0,1111,1111
SSH-Patator,0,34,0,0,34,34
Web Attack � Brute Force,0,13,0,0,13,13
Web Attack � Sql Injection,0,1,0,0,1,1
Web Attack � XSS,0,6,0,0,6,6
