True Label,0,1,2,3,4,5,6,7,Total_True_Labels
BENIGN,223,10374,5991,329,2432,5542,30,1,24922
Bot,0,0,17,0,0,14,0,0,31
DDoS,0,1,870,0,0,0,635,0,1506
DoS GoldenEye,0,0,69,24,2,3,19,0,117
DoS Hulk,552,0,304,2,0,7,1194,0,2059
DoS Slowhttptest,14,4,3,0,29,10,0,0,60
DoS slowloris,3,0,22,17,29,5,0,0,76
FTP-Patator,0,0,40,0,0,23,0,0,63
Infiltration,0,0,1,0,0,0,0,0,1
PortScan,0,0,1098,2,0,11,0,0,1111
SSH-Patator,0,0,33,0,0,1,0,0,34
Web Attack � Brute Force,0,0,11,0,2,0,0,0,13
Web Attack � Sql Injection,0,0,0,0,0,1,0,0,1
Web Attack � XSS,0,0,6,0,0,0,0,0,6
