Algorithm,Parameters,Silhouette,Davies_Bouldin,Number_of_Clusters,Noise_Points,Noise_Ratio_Percentage,Valid
K-Means,k=2,0.5164475440979004,1.6543822923839817,2,0,0.0,True
K-Means,k=3,0.4300882816314697,1.5208460902148058,3,0,0.0,True
K-Means,k=4,0.4379734396934509,1.1341442901424386,4,0,0.0,True
K-Means,k=5,0.2530035376548767,1.6071981125205341,5,0,0.0,True
K-Means,k=6,0.2889426350593567,1.455314626261119,6,0,0.0,True
K-Means,k=8,0.2620120644569397,1.3347721202761795,8,0,0.0,True
K-Means,k=10,0.2866884469985962,1.1204558879532938,10,0,0.0,True
Hierarchical,"linkage=ward, k=3",0.5193297863006592,1.4066310746378552,3,0,0.0,True
Hierarchical,"linkage=ward, k=5",0.23454880714416504,1.6727587608971421,5,0,0.0,True
Hierarchical,"linkage=average, k=3",0.7879515886306763,0.38667894839049005,3,0,0.0,True
Hierarchical,"linkage=average, k=5",0.7459633946418762,0.28586390833387204,5,0,0.0,True
Hierarchical,"linkage=complete, k=3",0.8321947455406189,0.34925720079149025,3,0,0.0,True
Hierarchical,"linkage=complete, k=5",0.7095528244972229,0.7131114516999615,5,0,0.0,True
DBSCAN,"eps=1.0, min_samples=5",0.06436197459697723,1.4027854224584628,239,2687,8.956666666666667,True
DBSCAN,"eps=1.5, min_samples=10",0.10951445996761322,1.5706978674055687,108,2476,8.253333333333334,True
DBSCAN,"eps=2.0, min_samples=10",0.2058156579732895,1.5375226779477233,46,1571,5.236666666666666,True
DBSCAN,"eps=2.0, min_samples=15",0.2749142348766327,1.6067358182894773,32,1907,6.356666666666666,True
DBSCAN,"eps=3.0, min_samples=20",0.27526000142097473,1.6850484799906083,15,1190,3.966666666666667,True
